SAF(MeV)

ORNLAdultFemale,gamma,Liver,
Target/Energies(DoseCalcs-ORNLAdultMale-Ratio),0.01, , Ratio,0.02, , Ratio,0.05, , Ratio,0.1, , Ratio,0.2, , Ratio,0.5, , Ratio,1, , Ratio,2, , Ratio,
Liver,0.648446,0.685 ,0.946636 ,0.528814,0.543 ,0.973875 ,0.18304,0.185 ,0.989405 ,0.107842,0.111 ,0.97155 ,0.103026,0.106 ,0.971943 ,0.102207,0.107 ,0.955206 ,0.0928535,0.0983 ,0.944593 ,0.0758259,0.0829 ,0.914667 ,
Thyroid, , , , ,1.42e-10 ,0 ,0.000142957,0.000252 ,0.56729 ,0.000340432,0.000658 ,0.517374 ,0.000410597,0.000764 ,0.537431 ,0.000547877,0.000858 ,0.638551 ,0.00066579,0.000932 ,0.714367 ,0.000720991,0.000988 ,0.729748 ,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ORNLAdultFemale,gamma,Thyroid,
Target/Energies(DoseCalcs-ORNLAdultMale-Ratio),0.01, , Ratio,0.02, , Ratio,0.05, , Ratio,0.1, , Ratio,0.2, , Ratio,0.5, , Ratio,1, , Ratio,2, , Ratio,
Liver, , , , ,1.42e-10 ,0 ,0.000150998,0.000252 ,0.599198 ,0.000339779,0.000658 ,0.516381 ,0.000416534,0.000764 ,0.545202 ,0.00055682,0.000858 ,0.648974 ,0.000669153,0.000932 ,0.717975 ,0.000731305,0.000988 ,0.740187 ,
Thyroid,62.7688,66.4 ,0.945313 ,27.2154,26 ,1.04675 ,3.46805,3.43 ,1.01109 ,1.97752,2.03 ,0.974148 ,2.13975,2.2 ,0.972614 ,2.24604,2.43 ,0.924296 ,1.95932,2.29 ,0.855598 ,1.37781,1.9 ,0.725163 ,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

*****************************************************************************************************************************************************************************************************************************************************************

ORNLAdultMale,gamma,Kidneys,
Target/Energies(DoseCalcs-ORNLAdultMale-Ratio),0.01, , Ratio,0.02, , Ratio,0.05, , Ratio,0.1, , Ratio,0.2, , Ratio,0.5, , Ratio,1, , Ratio,2, , Ratio,
Kidneys,3.13851,3.1 ,1.01242 ,2.07404,2 ,1.03702 ,0.418832,0.4 ,1.04708 ,0.239289,0.23 ,1.04039 ,0.245044,0.24 ,1.02102 ,0.252216,0.25 ,1.00886 ,0.227805,0.23 ,0.990457 ,0.178839,0.2 ,0.894195 ,
Liver,3.31619e-05,5.1e-05 ,0.650233 ,0.00432143,0.004 ,1.08036 ,0.0207694,0.019 ,1.09313 ,0.0170271,0.015 ,1.13514 ,0.0151433,0.014 ,1.08166 ,0.0141175,0.013 ,1.08596 ,0.0129855,0.012 ,1.08213 ,0.0112728,0.011 ,1.0248 ,
Thyroid, , , , , , ,8.58303e-05,1.6e-05 ,5.36439 ,0.00022621,9.1e-05 ,2.48582 ,0.000288716,0.00023 ,1.25529 ,0.000383701,0.00037 ,1.03703 ,0.00046449,0.00041 ,1.1329 ,0.000527281,0.00042 ,1.25543 ,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ORNLAdultMale,gamma,Liver,
Target/Energies(DoseCalcs-ORNLAdultMale-Ratio),0.01, , Ratio,0.02, , Ratio,0.05, , Ratio,0.1, , Ratio,0.2, , Ratio,0.5, , Ratio,1, , Ratio,2, , Ratio,
Kidneys,3.24946e-05,5.1e-05 ,0.637149 ,0.00431922,0.004 ,1.07981 ,0.0205292,0.019 ,1.08048 ,0.0167237,0.015 ,1.11491 ,0.0149682,0.014 ,1.06916 ,0.0140424,0.013 ,1.08018 ,0.0129318,0.012 ,1.07765 ,0.0112613,0.011 ,1.02375 ,
Liver,0.511514,0.51 ,1.00297 ,0.426542,0.41 ,1.04035 ,0.159383,0.15 ,1.06255 ,0.0954858,0.092 ,1.03789 ,0.0900904,0.087 ,1.03552 ,0.08846,0.087 ,1.01678 ,0.0802322,0.081 ,0.990521 ,0.0657277,0.068 ,0.966584 ,
Thyroid, , , , , , ,0.00030567,0.0002 ,1.52835 ,0.000601464,0.00037 ,1.62558 ,0.000664978,0.00052 ,1.2788 ,0.000766626,0.00061 ,1.25676 ,0.000868481,0.00064 ,1.357 ,0.000862819,0.00067 ,1.28779 ,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ORNLAdultMale,gamma,Thyroid,
Target/Energies(DoseCalcs-ORNLAdultMale-Ratio),0.01, , Ratio,0.02, , Ratio,0.05, , Ratio,0.1, , Ratio,0.2, , Ratio,0.5, , Ratio,1, , Ratio,2, , Ratio,
Kidneys, , , , , , ,7.58208e-05,1.6e-05 ,4.7388 ,0.000210705,9.1e-05 ,2.31544 ,0.000276027,0.00023 ,1.20012 ,0.000378603,0.00037 ,1.02325 ,0.000464119,0.00041 ,1.132 ,0.000524448,0.00042 ,1.24869 ,
Liver, , , ,7.93721e-09, , ,0.000305572,0.0002 ,1.52786 ,0.000602147,0.00037 ,1.62742 ,0.000671842,0.00052 ,1.292 ,0.000784799,0.00061 ,1.28656 ,0.000867132,0.00064 ,1.35489 ,0.000888893,0.00067 ,1.32671 ,
Thyroid,43.2923,41 ,1.05591 ,20.126,18 ,1.11811 ,2.70563,2.5 ,1.08225 ,1.53769,1.4 ,1.09835 ,1.65231,1.5 ,1.10154 ,1.73078,1.7 ,1.01811 ,1.5222,1.6 ,0.951375 ,1.09348,1.3 ,0.841138 ,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

