gamma Discrete
7.62736E-01 1.66175E-05
7.57745E-06 9.22478E-05
1.81712E-07 3.13000E-04
1.36135E-09 3.29200E-04
3.09105E-04 6.08259E-04
3.41928E-06 6.42201E-04
2.70989E-04 3.65269E-03
1.49608E-06 3.78523E-03
1.39288E-06 3.84813E-03
7.78852E-05 3.98191E-03
2.76832E-04 4.08379E-03
2.45351E-03 4.09719E-03
1.12585E-06 4.17734E-03
1.44796E-03 4.41300E-03
1.27153E-04 4.42743E-03
2.00360E-04 4.49034E-03
2.38744E-05 4.56633E-03
1.31668E-07 4.61402E-03
1.26338E-07 4.62673E-03
4.02593E-05 4.70486E-03
3.59019E-04 4.70692E-03
1.89442E-06 4.72599E-03
2.82808E-06 4.73937E-03
3.36137E-06 4.75109E-03
1.48915E-08 4.76235E-03
1.37496E-08 4.76373E-03
1.11120E-05 4.89553E-03
1.39229E-07 4.95593E-03
2.16155E-04 5.03405E-03
1.33369E-06 5.08031E-03
1.52095E-08 5.09294E-03
2.74089E-05 5.25621E-03
4.43189E-05 5.26892E-03
2.30419E-07 5.34706E-03
3.49998E-07 5.34913E-03
3.11539E-06 5.40454E-03
4.83836E-06 5.40593E-03
1.40078E-02 2.94521E-02
2.59418E-02 2.97812E-02
2.43522E-03 3.35665E-02
4.72116E-03 3.36295E-02
2.40211E-05 3.38651E-02
3.28048E-05 3.38785E-02
5.10579E-04 3.43952E-02
9.95801E-04 3.44080E-02
4.47782E-06 3.44862E-02
6.10349E-06 3.44882E-02
5.23268E-05 3.45436E-02
9.89453E-05 3.45450E-02
gamma Discrete
2.62257E-02 8.01850E-02
8.98700E-07 8.59000E-02
2.69610E-03 1.77214E-01
3.18630E-05 2.32180E-01
5.77619E-04 2.72498E-01
6.13567E-02 2.84305E-01
1.79740E-05 2.95800E-01
4.73860E-05 3.02400E-01
7.76150E-04 3.18088E-01
2.12420E-04 3.24651E-01
2.73695E-03 3.25789E-01
1.63400E-04 3.58400E-01
8.17000E-01 3.64489E-01
5.47390E-04 4.04814E-01
7.35300E-05 4.49600E-01
3.60297E-03 5.03004E-01
7.17326E-02 6.36989E-01
2.17322E-03 6.42719E-01
1.77289E-02 7.22911E-01
e- Discrete
2.09057E-02 6.93474E-02
6.48077E-03 8.69286E-02
7.23736E-02 9.65904E-02
8.94964E-01 1.91529E-01
4.97755E-04 2.00167E-01
4.77845E-03 2.83194E-01
e- Discrete
1.18727E-01 2.61504E-05
3.62830E-01 3.62367E-05
4.45522E-02 1.23806E-04
8.28747E-03 3.17976E-04
9.96618E-02 5.05029E-04
5.70048E-03 6.17060E-04
3.83051E-05 7.66872E-04
3.92981E-02 3.32402E-03
1.16568E-02 4.00104E-03
8.85238E-04 4.70489E-03
3.93828E-03 2.44715E-02
1.76190E-03 2.86854E-02
1.89387E-04 3.29032E-02
e- Discrete
3.55294E-02 4.56290E-02
1.69406E-06 5.13440E-02
4.33327E-03 7.47681E-02
3.24126E-04 7.50811E-02
8.00774E-05 7.54103E-02
9.64331E-04 7.92584E-02
2.43166E-04 8.01850E-02
2.06940E-07 8.04831E-02
1.51348E-08 8.07961E-02
3.57359E-09 8.11253E-02
